,mean fractional importance,mean fractional ratio,number of reactions,name
cpd00130_c,0.002536416672621557,0.4493114092814126,105,metabolite missing from universal
cpd00132_c,0.0005681579484872769,0.4496438907833482,4,metabolite missing from universal
cpd00794_e,0.0019416971670370951,0.4497981265753593,11,metabolite missing from universal
cpd00135_c,0.002730326802021009,0.44980382128068275,255,metabolite missing from universal
cpd19013_c,0.002730326802021009,0.44980382128068275,255,metabolite missing from universal
cpd19019_c,0.002730326802021009,0.44980382128068275,255,metabolite missing from universal
cpd00123_c,0.0016809678231835543,0.4507449393243625,11,metabolite missing from universal
cpd01646_c,0.0016809678231835543,0.4507449393243625,11,metabolite missing from universal
cpd00054_e,0.0014350669239884962,0.45123258837271685,19,metabolite missing from universal
cpd00013_c,0.011449216828174394,0.4532688722271389,353,metabolite missing from universal
cpd00650_c,0.011449216828174394,0.4532688722271389,353,metabolite missing from universal
cpd03044_c,0.011449216828174394,0.4532688722271389,353,metabolite missing from universal
cpd00018_c,0.009694844991124727,0.45402879748790065,141,metabolite missing from universal
cpd00114_c,0.009694844991124727,0.45402879748790065,141,metabolite missing from universal
cpd00805_c,0.02166050398652128,0.45468643172632195,5,metabolite missing from universal
cpd15295_c,0.010226296800932254,0.4551603793277585,10,metabolite missing from universal
cpd00007_c,0.006572862550933128,0.4556831687438402,759,metabolite missing from universal
cpd00489_c,0.006572862550933128,0.4556831687438402,759,metabolite missing from universal
cpd00868_c,0.006572862550933128,0.4556831687438402,759,metabolite missing from universal
cpd01262_c,0.0016680689978147672,0.4565262041104049,17,metabolite missing from universal
cpd15274_c,0.008211604237824395,0.4574023594863045,52,metabolite missing from universal
